braine-lalleud,Braine-l'Alleud
cantons-de-lest,Cantons-de-l'Est
côte-dor,Côte-d'Or
dholbach,D'Holbach
lhaÿ-les-roses,L'Haÿ-les-Roses
loréal,L'Oréal
ndjamena,N'Djamena
rnb,R'n'B
saint-cyr-lécole,Saint-Cyr-l'École
saint-martin-dhères,Saint-Martin-d'Hères
saint-ouen-laumône,Saint-Ouen-l'Aumône
val-doise,Val-d'Oise
val-dor,Val-d'Or
villenave-dornon,Villenave-d'Ornon
villeneuve-dascq,Villeneuve-d'Ascq
aujourdhui,aujourd'hui
bahaie,baha'ie
bahaisme,baha'isme
bernard-lhermite,bernard-l'hermite
bins,bin's
bouton-dargent,bouton-d'argent
bouton-dor,bouton-d'or
boutons-dargent,boutons-d'argent
boutons-dor,boutons-d'or
cest-à-dire,c'est-à-dire
chef-dœuvre,chef-d'œuvre
chefs-dœuvre,chefs-d'œuvre
coq-à-lâne,coq-à-l'âne
dalembert,d'Alembert
daquin,d'Aquin
destaing,d'Estaing
dac,d'ac
daffilée,d'affilée
dantan,d'antan
darrache-pied,d'arrache-pied
daucuns,d'aucuns
demblée,d'emblée
dempoigne,d'empoigne
dos-dâne,dos-d'âne
droit-de-lhommisme,droit-de-l'hommisme
droit-de-lhommiste,droit-de-l'hommiste
duc-dalbe,duc-d'Albe
ducs-dalbe,ducs-d'Albe
entraimer,entr'aimer
entrhiverner,entr'hiverner
entrégorger,entr'égorger
fedai,feda'i
feddai,fedda'i
hors-dœuvre,hors-d'œuvre
je-men-fichisme,je-m'en-fichisme
je-men-fichiste,je-m'en-fichiste
je-men-foutisme,je-m'en-foutisme
je-men-foutiste,je-m'en-foutiste
jusquau-boutisme,jusqu'au-boutisme
jusquau-boutiste,jusqu'au-boutiste
laccoutumée,l'accoutumée
lenvi,l'envi
mas-tu-vu,m'as-tu-vu
main-dœuvre,main-d'œuvre
mains-dœuvre,mains-d'œuvre
mamselle,mam'selle
mamzelle,mam'zelle
nimporte,n'importe
nid-dabeilles,nid-d'abeilles
nids-dabeilles,nids-d'abeilles
pas-dâne,pas-d'âne
patte-doie,patte-d'oie
pattes-doie,pattes-d'oie
petit-déj,petit-déj'
pied-dalouette,pied-d'alouette
pied-doiseau,pied-d'oiseau
pieds-dalouette,pieds-d'alouette
pieds-doiseau,pieds-d'oiseau
pins,pin's
pont-lévêque,pont-l'évêque
presquîle,presqu'île
primholstein,prim'Holstein
prudhomale,prud'homale
prudhomie,prud'homie
prudhomme,prud'homme
quen-dira-t-on,qu'en-dira-t-on
quelquun,quelqu'un
quelquune,quelqu'une
queue-daronde,queue-d'aronde
queues-daronde,queues-d'aronde
rocknroll,rock'n'roll
sabader,s'abader
sabriller,s'abriller
sagir,s'agir
sot-ly-laisse,sot-l'y-laisse
tape-à-lœil,tape-à-l'œil
tire-daile,tire-d'aile
tire-lœil,tire-l'œil
tout-à-légout,tout-à-l'égout
travelers,traveler's
travellers,traveller's
trompe-lœil,trompe-l'œil
tue-lamour,tue-l'amour
vau-leau,vau-l'eau
